e,n,detail
2680229,1252909,"Ist schon die zweite tigermücke bei uns, soweit wir dass beurteilen können. Bei der ersten wussten wir nocht nicht dass wir das melden müssen, wir haben sie aufbewahrt."
2678820,1251840,Ist dies eine Asiatische Tigermücke?
2678658,1248440,Tigermücke gesichtet (11.06.19)
2682516,1244071,Asiatische Tigermücke in der Wohnung gefunden.
2678650,1251113,Ich habe heute 00:00uhr wahrscheinlich eine asiatische tiger Mücke gefangen es lebt noch und ist in einer glasbehälter drin
2678397,1252049,Mögliche Tigermücke? 2 Exemplare fotografiert.
2682129,1245940,Guten Tag ist dies eine Tigermücke welche ich bei mir in der Wohnung erwischt habe?
2681479,1243185,Tigermücke. Zwei mal gestochen worden
2681453,1243233,Tigermücke in Zürich Leimbach
2682682,1251058,Tigermücke vor dem Fenster entdeckt.
2682833,1244005,"Ist dies eine Tigermücke? Ich glaube sie ist zu hell, aber andes als Stechmücken, die ich sonst kenn."
2680166,1250598,"Diese Mücke habe ich bei uns im Bad (Mit Fenster zum Garten) entdeckt. Es sieht aus wie eine Tiegermücke. Bei uns im Garten gibt es einen Gully, wo es immer viele Mücken hat. Wenn das tatsächlich Tiegermücken sind, müsste man den Gully allenfalls mal behandeln."
2680110,1248006,Die gesuchte MÜCKE
2679450,1247789,Tigermücke(?) gesichtet am 23.07.2019. Seither haben wir noch ein Exemplar gesehen.
2686667,1246102,Tigermücke?
2686283,1246118,Auf Balkon gefunden. An Pflanze. Bereits tot.
2683469,1247247,"Habe eine Mücke erschlagen in der Wohnung. Aufgrund des Aussehens denke ich, dies könnte eine Tiegermücke sein. Der Finger hat einen Durchmesser von ca 1cm."
2681633,1249688,Ratten unter der Parkbank (Betonelement) bei der Rutsche.
2681320,1246404,Potentielle Asiatische Tigermücke gesichtet.
2678942,1250081,Glücklicherweise ist nicht mehr viel von ihr übriggeblieben. An den Beinen erkennt man die Tigermücke noch.
2679662,1248762,Tigermücke
2680468,1251244,Zu überprüfen. <br/>  <br/> Falls weitere photos benőtigt habe ich die mücke noch
2680470,1251244,Meine Mailadresse war falsch
2680225,1245310,"Im Waldstück neben der Kolbenhofstrasse wimmelt es von Asiatischen Tigermücken. Es waren hunderte und 100% Tigermücken. Wir haben sie genau angeschaut. Eigentlich hat es immer Mücken an dem Ort weil es oft feucht ist da. Aber jetzt habe ich gelesen, dass diese Mücken in Wollishofen bekämpft werden und laut Stadt Zürich nur da sein sollten. Waren vor zwei Wochen an dem markierten Ort beim ersten Grillplatz."
2680252,1248394,Tigermücke in 8048 Zürich nahe Letzibadi
2679634,1249224,"Ich habe einen Tigernosquito getötet. Ich habe in Internet gelesen, dass ich dies via dieser App melden soll. Brauchen Sie das Exemplar physisch oder kann ich es entsorgen? <br/>  <br/> Vielen Dank für Ihre Antwort."
2683238,1253920,"Hallo, wir haben nun zum 2. mal eine tigermücke in unserer wohnung in züri seebach gefunden. die erste war vor ca. 2 monaten."
2682635,1243241,"Vermeintliche Tigermücke, heute um ca. 10.25 nach dem Lüften im Bad gefunden."
2686854,1246091,"Sehr geehrte Damen und Herren <br/>  <br/> Wir hatten gestern eine Mücke mit weissen streifen und auch Ringe am hintersten Beinpaar. Meine Partnerin meinte, dies sei klar eine Tigermücke. Ich glaube es zuerst nicht, als ich mir jetzt jedoch die Bilder angeschaut habe, bin ich nicht mehr sicher."
2680469,1248769,Von diesen Mücken hat es viele bei uns.Könnte eine Tigermücke sein.
2680343,1250320,"Guten tag. Ich bin soeben, ich unserem garten von einer mücke gestochen worden (12:30). Habe sie erschlagen. Beim betrachten sah ich weisse striche und habe ein foto gemacht, um sie im internet mit einer tigermücke zu vergleichen. Dann schmiss ich die mücke ins gebüsch... unaufindbar."
2678908,1250831,Ev. eine Tigermücke?
2685427,1245493,Zum wiederholten Male Tigermücke in Nähe des Klusparks gesichtet und gefangen.
2685118,1246536,Tigermücken mehrfach in der Nähe des Klusparks gesehen und gefangen.
2679427,1246864,Guten Tag <br/>  <br/> Wir haben vielleicht eine Tigermücke gefangen. Foto im Anhang.
2682922,1249316,"Mücke am Nachmittag gesichtet, wollte mich stechen. Könnte das eine Tigermücke sein?"
2681054,1250606,Tigermücke gefunden. Am Waldrand Höngerberg
2685221,1244974,Wespennest im Garten von Familie ...
2682635,1249618,Tigermücke?
2681052,1245981,"Nach meinem Laien-Auge sieht diese Mücke nicht wirklich einheimisch, sondern asiatisch aus. Sie ist tot und hat mich am Tag gestochen. Standort am Waldrand in 8045 Zürich"
2682493,1251479,"Sehr geehrte Damen und Herren <br/>  <br/> Wir haben Mücken bei uns zuhause entdeckt und im Büro nebendran, welche verdächtigt nach der Tigermücke aussehen."
2682234,1246813,Diese beiden Mücken haben die Aktion auf dem Balkon nicht überlebt. Aber falls es Tigermücken sein sollten (was wir aufgrund des Vergleiches mit Bildern aus dem Internet zumindest nicht ausschliessen konnten) so wären die jetzt auch in der Enge angekommen. Allerdings wohl erst in kleiner Zahl.
2682272,1245050,Tigermücke?
2681328,1250006,Tigermücke in Höngg
2678192,1250610,"Ich wurde am Arm gestochen, fand es seltsam, dass es tagsüber passierte (17Uhr) und ich den Stich bemerkte. Die Mücke hatte eine Körperlänge von ca einen halben Zentimeter und war am ganzen Körper weiss gestreift wie an den Beinen"
2683145,1249200,Tigermücke in der Wohnung am Vormittag.
2680244,1252498,"In der Wohnung habe ich eine tote Mücke gefunden, die eventuell eine Tigermücke sein könnte."
2680732,1246131,Tigermücke?
2679553,1250442,Ist das eine Tigermücke?
2681471,1250769,"Ich war am Dienstag ca. 2 Stunden im Wald und wurde von Mücken aufgefressen. Dreimal habe ich bemerkt, dass einige Mücken asiatische Tigermücken sind."
2679738,1251054,In Wohnung am späteren Nachmittag gefunden.
2683965,1249405,"Guten Tag zusammen Ich bin mir nicht sicher, ob es sich hier um eine der Tigermücken handelt."
2683195,1243253,Tiegermücke
2684427,1247291,Tigermücke?
2679899,1247814,"Am 6.4.2019 haben wir in unserer Waschküche eine lebende Ratte entdeckt. Drei Tage zuvor wurden im Haus die Abwasserleitungen gespült und es waren während Stunden alle Türen sowie Gitter / Deckel auf Abläufen im Hause offen, was möglicherweise der Ratte den Zugang ermöglicht hat. Im kleinen Raum (Waschküche und Heizung) waren zahlreiche Rattenkot-Stücklein verteilt. Ein paar Stunden später war die Ratte tot in der neu aufgestellten Falle (Bild). Wir haben in Handschuhen den Kot sorgfältig zusammengewischt und die Ratte im Garten vergraben. Nun unsere Frage: Wären weitere Massnahmen , zB Reinigung, nötig gewesen?"
2680454,1253111,Tigermücke? Wir wurden in den letzten Tagen mehrmals gestochen und wissen nicht von welcher Mücke.
2681539,1250169,Ev. Eine Tigermücke?
2687126,1245770,Eine Tigermücke?
2679416,1249825,"Dear Stadt Zürich, <br/>  <br/> We have a problem with this type of cockroach in our apartment. To us it seems that it's this type: BRAUNBANDSCHABE (Supella longipalpa) <br/>  <br/> Could you please confirm that for us? Thank you. <br/>  <br/>"
2679963,1246719,Ist das eine Tigermücke? Gefunden im Triemlispital
2681635,1243358,Möglicherweise eine Tigermücke (ca. 17.30 Uhr).
2677934,1249523,Tigermückenplage leider auch bei uns en masse.
2681804,1243749,Tigermücke bei uns in der Wohnung.
2679323,1247764,Habe wahrscheinlich eine Tigermücke im Auto entdeckt
2680822,1249448,Tigermücke?
2677985,1249484,Tigermücke? Gesehen um 19.30 Uhr
2679832,1252406,Tigermücke?
2682295,1243612,Tigermücke? Sie war tagaktiv
2685564,1251665,Wandale haben das Objekt zerstört.
2680454,1253112,"Ich habe Ihnen vor ca. 1.5 Wochen 2 Mücken geschickt, Fundort Mühlackerstrasse in Zürich. Wissen Sie bereits, welche Mücken es waren? <br/>  <br/> Beste Grüsse M. Nguyen Balmelli"
2682386,1243649,Gemäss den Informationen auf der Stadt ZH homepage könnte es sich unseres erachtens um eine Tigermücke handeln.
2682367,1245008,"Grüezi, ich habe das Insekt auf dem Bild in unserem Badezimmer gesichtet. Ich bin mir nicht sicher, ob es sich evtl um eine Tigermücke handelt und wollte dies melden. Die Mücke ist tot, nicht eingefangen."
2682161,1243626,Am 31.8.2019 am Morgen um 9.00 Uhr bei uns in der Wohnung gefangen. Eventuell eine asiatische Tigermücke.
2681162,1245437,"Grüezi, an der Uetlibergstrasse beim STVA gefunden. eine Tiger Mücke?"
2681004,1246771,Dieses tote Exemplar eines recht grossen gestreiften mückenartigen insektes habe ich soeben auf dem Teppichboden im Kinderzimmer gefunden! Region Tiergarten 8055 Zürich. Könnte es sich um eine tigermücke handeln? Ich würde vor etwa 2 Wochen in der Nacht von einer Mücke gestochen u der Stich schwoll ungewöhnlich stark an u ist jetzt noch zu erkennen...
2682492,1249612,Falter eines Buchsbaumzünslers bei mir heute Morgen in der Wohnung.
2682689,1243692,Tigermücke oder Buschmücke?! Am Montag 2.9.19 Morgen (6.45h)in unserer Küche in Wollishofen. Kann ich die Mücke entsorgen? Danke!
2684166,1250274,Tigermücke? Sehe immer wieder solche bei unserem Gulli vor dem Haus.
2683000,1244142,Sandkasten Spielplatz bei roterFabrik. Tigermücke?
2682018,1247341,Ich vermute eine Tiegermücke. Das Tier habe ich in Watte gepackt und könnte versandt werden.
2682788,1242747,Könnte das eine Tigermücke sein? Oder doch nur eine Asiatische Buschmücke?
2681376,1247572,Handelt es sich hierbei um eine Tigermücke? <br/>
2681357,1242094,Tiegermücke?
2685606,1250626,"Mutmasslich Tigermücke gefunden. Falls ich das tote Tier einschicken soll, bitte rückmelden."
2681082,1247635,Ziemlich grosser Fisch im Tümpel. Gehört der da hin? Vor ca. 2 Wochen erstmals gesichtet.
2682658,1252129,"Hier bei der post gab es vor jahren eine baustelle, siehe bild. seither ist da einfach ein „loch“ im boden, dass sich bei niederschlag immer wieder mit unmengen wasser füllt und über tage/wochen langsam abfliesst. und heute liest man (neu in schaffhausen aufgetaucht), dass der siegeszug der tigermücken ungebremst weitergeht. unverständlich, dass das „loch“ so bleibt zumal post staatsnaher betrieb. wohngebiete in unmittelbarer nähe."
2682531,1243756,Tigermücke?
2680372,1250752,Ist das möglicherweise eine Tigermücke?
2682909,1242968,Tigermücke?
2682468,1243196,Grüezi. Kann dies eine Asiatische Tigermücke sein?
2681029,1250121,Wir haben heute zu Hause eine Mücke gefunden. Aus unserer Sicht eine Asiatische Tigermücke.
2682408,1250355,Tigermücke?
2686867,1250716,"Guten Tag Habe das Gefühl heute eine Tigermücke getötet zu haben. Ich habe eine weisse Musterung an den Hinterbeinen erkannt, hoffe das Foto hat genügende Qualität.."
2680585,1251426,Vermutlich eine Tigermücke… bitte bestätigen.
2683442,1251166,"Evtl. Tigermücke, vermutlich aber nicht."
2684552,1245651,Stechmücke. Fraglich Tigermücke.
2685310,1246025,Tigermücke?!
2682102,1243630,Mein Sohn (8Jahre alt) wurde von einer Mücke in unserer Wohnung gestochen. Vorletzte Nacht.
2679201,1247451,Vermutliche Sichtung einer Tigermücke
2682386,1242956,Ist dies eine Tigermücke?
2682385,1247287,Tigermücke - heute gefunden
2679348,1249282,"Wir sind uns ziemlich sicher, dass es sich hierbei um eine Tigermücke handelt. Leider ist das Bild nicht sehr gut. Man sieht jedoch die weissen Streifen am Ubterleib und die langen angewinkelten Beine."
2681123,1247681,"Verm. Asiatische Tigermücke in Wohnung in Neu-Wiedikon aufgetaucht. Ich lass sie jetzt verhungern, hoffe ok."
2682467,1245927,Meldung einer Tigermücke (?)
2682536,1245052,Tigermücke?
2685422,1245811,Wir haben sehr tagaktive Mücken beim Grillplatz heute beobachtet. Die Tiere scheinen auf die Beschreibung der Tigermücke zu passen. Fotos sind leider sehr schwer zu machen - ich habe ein totes gut erhaltenes Tier was ich einsenden könnte.
2681902,1249901,Wir sind nicht sicher um was für eine Mücke es sich handelt.
2683505,1250642,Sehr geehrte Damen und Herren Ist die in einem Kellerraum gefunden Kakerlake ein Schädling? Freundliche Grüsse
2684728,1248313,"Sehr geehrte Damen und Herren <br/>  <br/> In der Schublade eines Holzmöbels habe ich verschiedene solcher circa 25mm langer, leerer Nester gefunden, wurden diese von Schädlingen gebaut? <br/>  <br/> Freundliche Grüsse"
2684045,1247747,Tigermücke?
2679963,1250384,Ist das eine Tigermücke? Leider ist die Kamera nicht so gut. Sie hat auf jedenfall weisse Streifen an den Beinen.
2682922,1248995,Kein WC mehr.
2682876,1252082,"Wir sind uns nicht sicher, aber wir denken, es könnte eine Tigermücke sein. die Mücke war in unserer Wohnung."
2682229,1244673,Tigermücke
2680247,1250529,Liebes ZüriwieNeu <br/>  <br/> Ist das eine Marmorierte Baumwanze (Stinkwanze)? <br/>  <br/> Soll man diesen Schädlingstyp melden? <br/>  <br/> Beste Grüsse
2681727,1247126,Schwirrt um 8:20 umher... Tigermücke?
2684555,1251041,"Verdacht auf Asiatische Tiegermücke. Hat 5 weisse Ringe an den Hinterbeinen. Wollten nachfragen/melden ob es sich wirklich um eine Asiatische Tiegermücke handelt? Tier leider tot, aber könnte versendet werden."
2680710,1252154,Tigermücken (2. mal). In der Nähe befindet sich ein Teich (mit stehendem Wasser).
2684390,1246547,Tigermücke in der Wohnung
2684728,1248313,Ist die Schabe ein Schädling?
2683510,1249245,"Grüezi, wir haben auf dem Kiesplatz in der Riedtli-Siedlung einen Offenen Bücherschrank aus Schaltafeln. Seit einigen Wochen finden wir immer wieder Raupen (?) darin, vor allem an den gebundenen Büchern. Wir haben daraufhin alle Bücher ausgeräumt und den Schrank 2x mit Insektizid behandelt, aber es kamen immer wieder neue Raupen. Können Sie sagen, worum es sich handelt?"
2681624,1245933,Tigermücke
2682006,1247129,"Hatten heute morgen (5.11.) eine Mücke am Fenster (draussen) die einer asiatischen Tigermücke ähnelt (Kreis 3, Wiedikon)."
2681635,1246819,"Eine Gruppe Ratten, mindestens 3, wahrscheinlich noch mehr, rannte unter den Abfallcontainern und abgedeckten Motorrädern im Vorgarten der Häuser 54 und 56 lebhaft herum. Farbe der Tiere: graubraun, eines gefleckt weiss/grau, event. gezüchtete Tiere. Beobachtet am 27.11.19 um 14:00 Uhr. Sie verlangen ein Foto, ohne dieses geht die Nachricht nicht ab. Da ich keine Fotomöglichkeit bei mir hatte konnte ich keines machen.Deshalb zog ich ein anderes auf das Feld, das jedoch nichts mit den Ratten zu tun hat. Ich hatte gestern bei Ihnen angerufen."
2679684,1248822,Ratte ca 14.30 Uhr
2682203,1244359,Vermute eine Tigermücke gefunden zu haben. Insekt war beim Fund aber bereits tot und ist deshalb nicht ganz intakt.
2682779,1247413,Sehr geehrte Damen und Herren Hier befindet sich ein Riesen Vespen Schwarm <br/>  <br/> Besten Gruß
2686999,1250597,"Habe diese Mücke im Badezimmer gesehen. Handelt sich um eine Tigermücke, glaube ich. Habe keine weitere gesehen und kann die Mücke per Post einsenden, falls nötig."
2684013,1248894,Ich habe gerade eine verdächtige Mücke erschlagen. Die weissen Streifen auf den Hinterbeinen sind sehr deutlich. Auf dem Körper nicht so.
2681329,1246473,"Guten Abend handelt es sich hier um eine asiatische Tigermücke? Wir haben sie schon umgebracht, haben aber die Mücke aufbewahrt. Auf dem Foto ist die tote Mücke kleiner als lebend da ihr Körper aufgerollt ist und die Streifung nun schlechter sichtbar ist. Vielen herzlichen Dank"
2679223,1250806,Asiatische Tigermücke in Höngg. (Hatte mal gelesen man solle sie melden) mindestens 2 bisher gesichtet.
2681655,1249860,"Tigermücke: Am 30.04.2020 um 09:15 Uhr im Badezimmer unserer Wohnung Hönggerstrasse 95 2. OG entdeckt. Werde versuchen, sie zu gefrieren und dem Umwelt- und Gesundheitsschutz der Stadt Zürich zuzusenden."
2681853,1242645,Beim Vitaparcours Wollishofen Entlisberg wimmelt es von Asiatischen Tigermücken. <br/>  <br/> Am schlimmsten bei der Stange für die Klimmzüge.
2681845,1242614,Es hat aggressive Tigermücken in der unmittelbaren Nähe von den Pull-Up Stangen.
2684746,1251894,"Tiegermücke - Bereits die Zweite Mücke / Mosquito mit den auffälligen weissen Streifen gesichtet (eine letzes Jahr, und eine gerade eben). Vermutung, dass es sich dabei um die Krankheitsübertragende Tigermücke handelt."
2682696,1244134,Asiatische Tigermücke??
2682757,1249345,Tigermücke
2680865,1245940,"Sichtung einer möglicherweise Asiatischen Riesenhornisse..! Das Insekt wär über 5.5cm lang und hat das Hummelnest in meiner Rolladen-Store angreifen. Mit Deospray vertrieben. Kam aber 3 Mal zurück. Leider war ich zu aufgebracht, noch ein Foto zu machen. Sie sah aber ziemlich genau so aus wie das Teil auf diesem Foto. Wurden auch andere Riesenhornissen bis dato rapportiert?"
2681506,1250484,Vermehrt Tigermücken im Haus gesichtet. ein Exemplar konnte gefangen werden.
2684773,1247287,"Es wimmelt von Raupen an feinen Fäden. Glaube, die sollte man bekämpfen! Dolderstrasse, stadteinwärts, über dem „Töbeli“"
2682975,1248077,Tigermücke in der S24 nach Zug?
2680232,1248308,"In meinem Garten hat es Holzameisen was soll ich tur, sie krabbeln schon zum Nachbar ins Haus"
2684375,1248667,"Tigermücke! Lebe oft im Kanton Tessin, wo diese Art schon länger bekannt ist."
2679140,1247782,"Asiatische Tigermücke gefunden, in der Wohnung."
2682891,1253618,Erneut tiegermücke getötet(passiert täglich mehrmals)
2680063,1245459,Tigermüken bei fast allen Übungsstationen des Vita Parcours am Üetliberg/Albisgüetli
2679461,1247114,Balkon mit stehendem Wasser unter Holzboden. Nicht entfernbar. Aktuell diverse Tigermücken auf dem Balkon und in der Wohnung.
2682437,1251355,"Könnte es sich um eine Tigermücke handeln? Falls ich noch eine sehe, werde ich versuchen, sie lebend einzufangen."
2680626,1247006,"Hi, <br/> I found an Asian Tiger Mosquito in my kitchen this morning in Wiedikon, ZH. <br/> I killed it still have it if required by yourselves. <br/> Thanks <br/>  <br/> Paul"
2679033,1247524,Verdacht auf Tigermücke. - sehr kleine Mücke (kleiner als 5-Rappenstück) - weisse Musterung an Körper und Beinen
2680909,1248010,"PubliWC: Danke, es ist schön sauber, aber es kommt keine Seife aus dem Spender"
2682344,1244862,Asiatischen Tigermücke?
2678841,1251092,"Hallo zusammen Anbei ein Foto einer auffälligen Mücke, evtl. einer Tigermücke!?, welche ich soeben bei uns in der Wohnung erwischt habe."
2682753,1243262,Evtl. Tigermücke?
2684010,1249712,Ist es eine Tigermücke?
2679356,1247370,Verdacht auf asiatische Tigermücke.
2681722,1248032,Rattenbau
2679226,1249309,"Tigermücke? Sie hat mich gerade begonnen zu stechen, da erwischte ich sie... - habe sie noch in einem verschlossenen Plastikbehälter, falls notwendig."
2682601,1243417,Könnte das eine Tiger-Mücke?
2679239,1248596,Tigermücke in Altstetten <br/>  <br/> 1. Bild: Mücke unter Plastikbecher am 3. Juni 2020 2. Bild: Mücke vom 8. Juni 2015 <br/>  <br/> Zwischen beiden Fotos immer wieder Tigermücken in Altstetten angetroffen.
2680555,1247354,Tigermücke in Wohnung
2682111,1250555,Viele Tigermücke beim Käferberg
2678830,1248430,"Mögliche tigermücke..? Kleiner als 5 Rappenstk.,Tagsüber gesehen, 5 weisse Ringe an den Hinterbeinen"
2679169,1249139,Im Neumarkt Altstetten gibt es immer wieder über den Sommer Mücken die ziemlich nervig sind. Hier wurde ich letztes Jahr sogar fündig einer Tigermücke. Nun heute (12.6.20) zum ersten Mal ein Insekt dieser Grösse entdeckt. Normalerweise sind im Gebäude gewöhnlich immer wieder kleinere Mücken vorhanden. <br/>  <br/> Dem Insekt fehlt jedoch ein Bein und die Mücke ist tot.
2680958,1247389,"Tigermücke in unserer Wohnung entdeckt, nachdem wir viele und sehr entzündete Stiche bekamen."
2679627,1246925,Tigermücke?
2682025,1251905,Höchstwahrscheinlich eine Tigermücke
2678818,1250824,"Sehr geehrte Damen und Herren, ich gehe davon aus, dass es in der Gegend um die Limmat  einen Befall von Tiegermücken gibt. Diese Mücken sind mir bereits im Sommer 2019 aufgefallen und haben mich im letzen Jahr gestochen, mit ungewöhnlich grosser Mückenstich-Reaktion der Haut - die ich als untypisch für heimische Mücken empfunden habe. Die Tiegermücke zeigt sich vor allem am Abend und wenn Licht in der Wohnung ist."
2683243,1248753,"Krank aussehender Fuchs mit zerzotteltem, löchrigem Fell."
2686021,1246403,Ist dies eine tigermücke?
2681814,1243648,Stehendes Gewässer: Potenzielle Brutstätte für die Tigermücke?
2680095,1252647,Tigermückenalarm
2681606,1247564,Asiatische Tigermücke
2682501,1245660,Tigermueke im Park
2682512,1243677,Asiatische Tiegermücke?
2677895,1249660,Diese sehr kleinen Insekten (mit Flügeln) tauchen bei uns auf dem Balkon derzeit zu hunderten auf. Zum Grössenvergleich: Auf den Fotos ist der Fingernagel des Zeigfingers zu sehen. Um welche Art handelt es sich. Was kann man dagegen unternehmen? <br/>  <br/> Danke.
2678084,1249214,Ich habe einen Verdacht auf Tigermücken in der Nähe des Schulhaus Chriesiweg. Aber bräuchte eine bestätigung von euch. Freundliche Grüsse
2684723,1251239,Tigermücken vorkommen in der umgebung. bereits das 4. Jahr
2684710,1251173,Tigermücke erschlagen
2680900,1245344,Tigermücke
2679921,1253229,Tigermücke
2684529,1246649,Bereits die dritte Tigermücke innerhalb eines Monats in der Wohnung
2683326,1246782,Tigermücke?
2682213,1243939,Asiatische Buschmücke getötet
2679360,1249084,Tigermücke?
2680222,1246438,Könnte es sich dabei um eine Tigermücke handeln?
2683095,1243281,"Mücke, um 22:15 in der Wohnung entdeckt. Körperlänge ca. 7mm (ohne Beine). Verdacht auf Tigermücke"
2679291,1251189,Wespenplage im Schlafzimmer
2681958,1250187,Im Garten von Tigermücke ? Gestochen
2681956,1250176,Tigermücke ?
2684801,1251173,"Hornissennest im Rolladenkasten, reger Flugbetrieb, die toten Larven werden aus dem Nest geworfen"
2681617,1245901,Verdacht auf Tigermücke
2681736,1245983,"Sehr geehrte Damen und Herren Wir haben heute auf unserem Balkon ein Insekt entdeckt, das einer Tigermücke gleicht. Siehe Foto. Gerne hören wir in diesem Zusammenhang wieder von Ihnen."
2682958,1242742,Tigermücke?
2686228,1249160,"In der Toilette des Zoos (Lewa Savanne, beim Hyänengehege) habe ich vermutlich eine Tigermücke gesehen (siehe Foto)"
2686228,1249160,"In der Toilette des Zoos (Lewa Savanne, beim Hyänengehege) habe ich vermutlich eine Tigermücke gesehen (siehe Foto)"
2682090,1249686,Wespennest in Dachstock
2687621,1246088,"Guten Tag, <br/>  <br/> Ich hatte gestern Abend eine Mücke in der Wohnung, welche sehr aggressiv war und evt. eine Tigermücke sein könnte. <br/>  <br/> Freundliche Grüsse"
2682647,1251689,Event. Tiegermücke? Zerquetschtes Tier ist noch vorhanden...
